Id,Name,Desc,Type,Race,Archetype,Attribute,Atk,Def,Level,Price
34541863,"""A"" Cell Breeding Device","During each of your Standby Phases, put 1 A-Counter on 1 face-up monster your opponent controls.",Spell Card,Continuous,Alien,,,,,0.24
64163367,"""A"" Cell Incubator","Each time an A-Counter(s) is removed from play by a card effect, place 1 A-Counter on this card. When this card is destroyed, distribute the A-Counters on this card among face-up monsters.",Spell Card,Continuous,Alien,,,,,0.21
91231901,"""A"" Cell Recombination Device","Target 1 face-up monster on the field; send 1 ""Alien"" monster from your Deck to the Graveyard, and if you do, place A-Counters on that monster equal to the Level of the sent monster. During your Main Phase, except the turn this card was sent to the Graveyard: You can banish this card from your Graveyard; add 1 ""Alien"" monster from your Deck to your hand.",Spell Card,Quick-Play,Alien,,,,,0.14
73262676,"""A"" Cell Scatter Burst","Select 1 face-up ""Alien"" monster you control. Destroy it and distribute new A-Counters equal to its Level among your opponent's face-up monsters.",Spell Card,Quick-Play,Alien,,,,,0.20
37478723,"""Infernoble Arms - Durendal""","While this card is equipped to a monster: You can add 1 Level 5 or lower FIRE Warrior monster from your Deck to your hand, then destroy this card. If this card is sent to the GY because the equipped monster was sent to the GY: You can target 1 Level 5 or lower FIRE Warrior monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of this turn, except Warrior monsters. You can only use 1 """"Infernoble Arms - Durendal"""" effect per turn, and only once that turn.",Spell Card,Equip,Noble Knight,,,,,10.74
64867422,"""Infernoble Arms - Hauteclere""","While this card is equipped to a monster: You can target 1 face-up monster you control; this turn, you cannot declare attacks with other monsters, also it can make a second attack during each Battle Phase, then destroy this card. If this card is sent to the GY because the equipped monster was sent to the GY: You can target 1 face-up monster on the field; destroy it. You can only use 1 """"Infernoble Arms - Hauteclere"""" effect per turn, and only once that turn.",Spell Card,Equip,Noble Knight,,,,,0.16
90861137,"""Infernoble Arms - Joyeuse""","While this card is equipped to a monster: You can target 1 FIRE Warrior monster in your GY; add it to your hand, then destroy this card. If this card is sent to the GY because the equipped monster was sent to the GY: You can Special Summon 1 FIRE Warrior monster from your hand. You can only use 1 """"Infernoble Arms - Joyeuse"""" effect per turn, and only once that turn.",Spell Card,Equip,Noble Knight,,,,,0.24
44256816,1st Movement Solo,"If you control no monsters: Special Summon 1 Level 4 or lower ""Melodious"" monster from your hand or Deck. You can only activate 1 ""1st Movement Solo"" per turn. You cannot Special Summon monsters during the turn you activate this card, except ""Melodious"" monsters.",Spell Card,Normal,Melodious,,,,,2.01
86988864,3-Hump Lacooda,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards.",Effect Monster,Beast,,EARTH,500,1500,3,0.20
11714098,"30,000-Year White Turtle","A huge turtle that has existed for more than 30,000 years.",Normal Monster,Aqua,,WATER,1250,2100,5,0.00
83994646,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,Flip Effect Monster,Insect,,WIND,800,1200,3,0.14
67048711,7,"When there are 3 face-up ""7"" cards on your side of the field, draw 3 cards from your Deck. Then destroy all ""7"" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.",Spell Card,Continuous,,,,,,0.91
23771716,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,Normal Monster,Fish,,WATER,1800,800,4,0.29
86198326,7 Completed,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",Spell Card,Equip,,,,,,0.20
14261867,8-Claws Scorpion,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",Effect Monster,Insect,,DARK,300,200,2,0.12
24140059,A Cat of Ill Omen,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the field, you can add that Trap to your hand instead.",Flip Effect Monster,Beast,,DARK,500,300,2,0.91
6850209,A Deal with Dark Ruler,"(This card is always treated as an ""Archfiend"" card.)
If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",Spell Card,Quick-Play,Archfiend,,,,,0.19
49140998,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",Spell Card,Normal,,,,,,0.20
68170903,A Feint Plan,A player cannot attack face-down monsters during this turn.,Trap Card,Normal,,,,,,0.20
21597117,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the Graveyard.",Trap Card,Normal,,,,,,0.18
